"Store Report","","","","","","","","","","","","",""
"Stores: All Stores","","","","","","","","","","","","",""
"In the State: All States","","","","","","","","","","","","",""
"DC Servicing Strategy: 1","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"

Store
No","


Name","

Store
Type","


Address","


City","

State 
-Zip Code","

Phone
No","


Market Name","

DC 
No","

DC 
Type","

Open 
Date","


Close Date","DC 
Effe-
ctive 
Date","Future
Re- 
model 
Date"
"3","Crystal","P-Fresh","5537 W Broadway Ave","Crystal","MN-55428","(763) 533-2231","Minneapolis-St. Paul-Bloomington","3895","FDC","09/04/62","","",""
"4","Duluth","P-Fresh","1902 Miller Trunk Hwy","Duluth","MN-55811","(218) 727-8851","Duluth","3895","FDC","10/08/62","","",""
"5","Bloomington","P-Fresh","2555 W 79th St","Bloomington","MN-55431","(952) 888-7701","Minneapolis-St. Paul-Bloomington","3895","FDC","10/14/65","","",""
"12","Bridgeton","P-Fresh","12275 St Charles Rock Rd","Bridgeton","MO-63044","(314) 291-0600","St. Louis","3895","FDC","02/17/69","","",""
"13","North Dallas","P-Fresh","13131 Montfort Dr","Dallas","TX-75240","(972) 239-8161","Dallas-Fort Worth-Arlington","3897","FDC","08/15/69","","",""
"19","Tulsa","P-Fresh","1701 S Yale Ave","Tulsa","OK-74112","(918) 744-1701","Tulsa","3897","FDC","04/09/70","","",""
"24","Greenfield","P-Fresh","4777 S 27th St","Greenfield","WI-53221","(414) 282-1000","Milwaukee-Waukesha-West Allis","3895","FDC","10/29/70","","",""
"26","Ballwin","P-Fresh","15025 Manchester Rd","Ballwin","MO-63011","(636) 391-7500","St. Louis","3895","FDC","08/14/71","","",""
"43","Oklahoma City North","P-Fresh","5400 N May Ave","Oklahoma City","OK-73112","(405) 947-6761","Oklahoma City","3897","FDC","06/01/72","","",""
"48","Arvada","P-Fresh","7899 Wadsworth Blvd","Arvada","CO-80003","(303) 425-0124","Denver-Aurora-Broomfield","3897","FDC","10/13/76","","",""
"52","Lake Street","P-Fresh","2500 E Lake St","Minneapolis","MN-55406","(612) 721-5701","Minneapolis-St. Paul-Bloomington","3895","FDC","08/04/76","","",""
"55","Medallion","P-Fresh","6464 E NORTHWEST HWY STE 212","Dallas","TX-75214","(214) 361-2026","Dallas-Fort Worth-Arlington","3897","FDC","07/11/77","","",""
"61","Fargo","P-Fresh","4202 13th Ave SW","Fargo","ND-58103","(701) 282-7400","Fargo","3895","FDC","04/10/78","","",""
"64","Boulder","P-Fresh","2800 Pearl St","Boulder","CO-80301","(303) 449-3400","Boulder","3897","FDC","10/01/78","","",""
"67","Plano","P-Fresh","120 W Parker Rd","Plano","TX-75075","(972) 424-9575","Dallas-Fort Worth-Arlington","3897","FDC","10/02/78","","",""
"68","East St Paul","P-Fresh","1744 Suburban Ave","Saint Paul","MN-55106","(651) 778-1188","Minneapolis-St. Paul-Bloomington","3895","FDC","10/29/78","","",""
